error_rate,mae,rmse,max_error,within_1lsb_pct,n_samples
0.0,0.0,0.0,0.0,100.0,200
0.001,0.08551378038194446,0.09856942317416868,0.20917038690476186,6.5,200
0.005,0.2949717881944445,0.34351470950625274,0.6731228298611112,0.0,200
0.01,0.4074347795758929,0.477247733448622,0.9116753472222222,1.5,200
0.02,0.47404300750248013,0.5567543140886423,1.0025886656746033,3.0,200
0.05,0.4916294255332342,0.5771642994380399,1.0046115451388888,4.0,200
0.1,0.492040046812996,0.5775044569929326,1.0138811383928572,4.5,200
