a,b,true_result,classical_fp,qft_result,abs_error
0.4931208874007341,0.4260702392679966,0.06705064813273753,-0.9365079365079365,-0.9365079365079365,0.0
-0.11001880844630585,0.6955251961026739,-0.8055440045489798,0.23809523809523814,0.23809523809523814,0.0
0.6454762558404884,0.7579029551313449,-0.11242669929085647,0.9365079365079365,0.9365079365079365,0.0
0.35526245230685494,0.006539265329578603,0.34872318697727633,-0.6507936507936508,-0.6507936507936508,0.0
-0.7304807738022309,0.036495206533024405,-0.7669759803352553,0.23809523809523814,0.23809523809523814,0.0
0.8561202329461607,0.5397667393749056,0.3163534935712551,-0.7142857142857143,-0.7142857142857143,0.0
0.4700514635826353,-0.3339887548604378,0.804040218443073,-0.2063492063492064,-0.2063492063492064,0.0
0.5149157494985169,0.6072882522211235,-0.09237250272260655,0.9365079365079365,0.9365079365079365,0.0
-0.6693954611840174,-0.010545036268637786,-0.6588504249153796,0.3650793650793651,0.3650793650793651,0.0
-0.08930531178797918,-0.6914578961965169,0.6021525844085377,-0.39682539682539686,-0.39682539682539686,0.0
-0.23256355638135373,-0.7702935352687014,0.5377299788873476,-0.46031746031746035,-0.46031746031746035,0.0
0.7681769799274832,0.6155877798710335,0.15258920005644971,-0.8412698412698413,-0.8412698412698413,0.0
0.2589572161451962,-0.7999777495676198,1.058934965712816,0.0793650793650793,0.0793650793650793,0.0
0.5809709038874941,-0.3948994149594194,0.9758703188469134,-0.015873015873015928,-0.015873015873015928,0.0
-0.10185444211080397,-0.2985659270972175,0.19671148498641355,-0.8095238095238095,-0.8095238095238095,0.0
-0.4909703007874016,-0.5886099986551312,0.09763969786772958,-0.9047619047619048,-0.9047619047619048,0.0
0.0982526166285026,-0.3349919343564194,0.433244550984922,-0.5555555555555556,-0.5555555555555556,0.0
-0.7851289390124845,0.4368466201051543,-1.2219755591176389,-0.17460317460317465,-0.17460317460317465,0.0
0.5897361095866477,-0.8735708815918727,1.4633069911785204,0.46031746031746024,0.46031746031746024,0.0
0.23699591841971668,0.5889121641372356,-0.3519162457175189,0.6825396825396826,0.6825396825396826,0.0
0.4645579321536729,0.6417864424342047,-0.17722851028053177,0.8412698412698412,0.8412698412698412,0.0
-0.261853257366237,-0.22992916825521326,-0.031924089111023735,1.0,1.0,0.0
