iteration,classical_mean,classical_std,hybrid_mean,hybrid_std
0,0.421692866779681,0.21737488586198817,0.421692866779681,0.21737488586198817
1,0.2698834347389958,0.13911992695167244,6.216578483245151,0.6539942136210443
2,0.17272539823295735,0.08903675324907036,1.4323003275384227,0.2860125805575736
3,0.1105442548690927,0.05698352207940502,4.179188712522046,0.4583215601140751
4,0.07074832311621933,0.03646945413081922,2.293373645754598,0.3019031651870517
5,0.04527892679438037,0.023340450643724298,3.358427815570672,0.4007638634053689
6,0.02897851314840343,0.014937888411983555,2.7021415973796925,0.33305867750790774
7,0.0185462484149782,0.009560248583669476,3.1770219198790626,0.3402674027625045
8,0.011869598985586045,0.006118559093548464,2.717460317460317,0.3258041806170507
9,0.00759654335077507,0.0039158778198710165,3.1770219198790626,0.3402674027625045
10,0.004861787744496045,0.002506161804717451,2.717460317460317,0.3258041806170507
11,0.0031115441564774685,0.0016039435550191682,3.1770219198790626,0.3402674027625045
12,0.00199138826014558,0.0010265238752122682,2.717460317460317,0.3258041806170507
13,0.0012744884864931713,0.0006569752801358514,3.1770219198790626,0.3402674027625045
14,0.0008156726313556295,0.00042046417928694483,2.717460317460317,0.3258041806170507
15,0.0005220304840676029,0.00026909707474364475,3.1770219198790626,0.3402674027625045
16,0.0003340995098032658,0.00017222212783593265,2.717460317460317,0.3258041806170507
17,0.00021382368627409013,0.0001102221618149969,3.1770219198790626,0.3402674027625045
18,0.00013684715921541765,7.0542183561598e-05,2.717460317460317,0.3258041806170507
19,8.758218189786732e-05,4.514699747942272e-05,3.1770219198790626,0.3402674027625045
20,5.60525964146351e-05,2.8894078386830543e-05,2.717460317460317,0.3258041806170507
21,3.587366170536646e-05,1.8492210167571546e-05,3.1770219198790626,0.3402674027625045
22,2.2959143491434533e-05,1.183501450724579e-05,2.717460317460317,0.3258041806170507
23,1.4693851834518101e-05,7.574409284637305e-06,3.1770219198790626,0.3402674027625045
24,9.404065174091584e-06,4.8476219421678745e-06,2.717460317460317,0.3258041806170507
25,6.018601711418613e-06,3.1024780429874402e-06,3.1770219198790626,0.3402674027625045
26,3.851905095307913e-06,1.9855859475119616e-06,2.717460317460317,0.3258041806170507
27,2.465219260997064e-06,1.2707750064076553e-06,3.1770219198790626,0.3402674027625045
28,1.6619974027042194e-06,7.417507186799769e-07,2.717460317460317,0.3258041806170507
29,1.3920220562161312e-06,3.615053910109035e-07,3.1770219198790626,0.3402674027625045
30,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
31,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
32,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
33,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
34,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
35,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
36,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
37,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
38,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
39,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
40,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
41,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
42,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
43,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
44,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
45,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
46,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
47,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
48,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
49,1.3057565871493694e-06,1.562020833859497e-07,3.1770219198790626,0.3402674027625045
50,1.3057565871493694e-06,1.562020833859497e-07,2.717460317460317,0.3258041806170507
