error_rate,mae,rmse,max_error,within_1lsb_pct,n_samples
0.0,0.0,0.0,0.0,100.0,200
0.001,0.11797955920649512,0.13793869932811792,0.3283183976715687,0.0,200
0.005,0.34775988051470585,0.4089195045761778,0.8515490962009804,0.0,200
0.01,0.4372176968443627,0.5141847130911777,0.955941712622549,0.5,200
0.02,0.4763498487285539,0.5606413763056043,0.9987553615196079,1.0,200
0.05,0.4847942708333333,0.5697630996071309,0.9991670496323529,1.0,200
0.1,0.4842298560049019,0.5696738307049368,1.0056047028186275,1.0,200
