iteration,classical_mean,classical_std,hybrid_mean,hybrid_std
0,0.421692866779681,0.21737488586198817,0.421692866779681,0.21737488586198817
1,0.2698834347389958,0.13911992695167244,6.549333333333334,0.8646362540697975
2,0.17272539823295735,0.08903675324907036,2.211555555555555,0.46760624989222704
3,0.1105442548690927,0.05698352207940502,4.003555555555556,0.8591211127773276
4,0.07074832311621933,0.03646945413081922,3.0080000000000005,0.5338545601172897
5,0.04527892679438037,0.023340450643724298,3.733333333333333,0.5544843005046878
6,0.02897851314840343,0.014937888411983555,3.306666666666667,0.35413047745390186
7,0.0185462484149782,0.009560248583669476,3.5626666666666673,0.3642666232850688
8,0.011869598985586045,0.006118559093548464,3.5626666666666673,0.3642666232850688
9,0.00759654335077507,0.0039158778198710165,3.5626666666666673,0.3642666232850688
10,0.004861787744496045,0.002506161804717451,3.5626666666666673,0.3642666232850688
11,0.0031115441564774685,0.0016039435550191682,3.5626666666666673,0.3642666232850688
12,0.00199138826014558,0.0010265238752122682,3.5626666666666673,0.3642666232850688
13,0.0012744884864931713,0.0006569752801358514,3.5626666666666673,0.3642666232850688
14,0.0008156726313556295,0.00042046417928694483,3.5626666666666673,0.3642666232850688
15,0.0005220304840676029,0.00026909707474364475,3.5626666666666673,0.3642666232850688
16,0.0003340995098032658,0.00017222212783593265,3.5626666666666673,0.3642666232850688
17,0.00021382368627409013,0.0001102221618149969,3.5626666666666673,0.3642666232850688
18,0.00013684715921541765,7.0542183561598e-05,3.5626666666666673,0.3642666232850688
19,8.758218189786732e-05,4.514699747942272e-05,3.5626666666666673,0.3642666232850688
20,5.60525964146351e-05,2.8894078386830543e-05,3.5626666666666673,0.3642666232850688
21,3.587366170536646e-05,1.8492210167571546e-05,3.5626666666666673,0.3642666232850688
22,2.2959143491434533e-05,1.183501450724579e-05,3.5626666666666673,0.3642666232850688
23,1.4693851834518101e-05,7.574409284637305e-06,3.5626666666666673,0.3642666232850688
24,9.404065174091584e-06,4.8476219421678745e-06,3.5626666666666673,0.3642666232850688
25,6.018601711418613e-06,3.1024780429874402e-06,3.5626666666666673,0.3642666232850688
26,3.851905095307913e-06,1.9855859475119616e-06,3.5626666666666673,0.3642666232850688
27,2.465219260997064e-06,1.2707750064076553e-06,3.5626666666666673,0.3642666232850688
28,1.6619974027042194e-06,7.417507186799769e-07,3.5626666666666673,0.3642666232850688
29,1.3920220562161312e-06,3.615053910109035e-07,3.5626666666666673,0.3642666232850688
30,1.3057565871493694e-06,1.562020833859497e-07,3.5626666666666673,0.3642666232850688
31,1.3057565871493694e-06,1.562020833859497e-07,3.5626666666666673,0.3642666232850688
